Elevator, Roll, Yaw, Throttle, Flaps
0.003922, -0.145098, -0.027451, 1.000000, 0.000000
0.003922, -0.145098, -0.027451, 1.000000, 0.000000
0.001758, -0.106149, -0.020959, 1.000000, 0.000000
-0.001903, -0.040256, -0.009977, 1.000000, 0.000000
-0.003922, -0.002225, -0.002225, 1.000000, 0.000000
-0.003922, 0.001639, 0.001639, 1.000000, 0.000000
-0.003922, 0.003922, 0.003922, 1.000000, 0.000000
-0.003922, 0.003922, 0.003922, 1.000000, 0.000000
-0.003922, 0.003922, 0.003922, 1.000000, 0.000000
-0.003922, 0.003922, 0.003922, 1.000000, 0.000000
-0.003922, 0.004704, 0.003922, 1.000000, 0.000000
-0.003922, 0.008182, 0.003922, 1.000000, 0.000000
-0.003922, 0.012505, 0.003922, 1.000000, 0.000000
-0.003922, 0.022975, 0.003922, 1.000000, 0.000000
-0.003922, 0.033004, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.003922, 0.035294, 0.003922, 1.000000, 0.000000
-0.000840, 0.035294, 0.003922, 1.000000, 0.000000
0.003379, 0.035294, 0.003922, 1.000000, 0.000000
0.051002, 0.031673, 0.003922, 1.000000, 0.000000
0.105875, 0.027452, 0.003922, 1.000000, 0.000000
0.109934, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
0.113726, 0.027451, 0.003922, 1.000000, 0.000000
